month,day,lake,sample,lat,lon,enough_Tany2019,notes2019
May,30,Ljósavatn,1,65.70186325,-17.67660775,no,
May,30,Másvatn,1,65.6302182,-17.2494984,no,
May,30,Vestmannsvatn,1,65.798086,-17.4074435,unknown,
May,30,Vestmannsvatn,2,65.794755,-17.433595,unknown,
May,31,Botnsvatn,1,66.0367785,-17.2864685,unknown,
May,31,Botnsvatn,2,66.029847,-17.279462,unknown,
May,31,Botnsvatn,3,66.032276,-17.287221,unknown,
May,31,Másvatn,2,65.62768,-17.226035,unknown,
May,31,Miklavatn,1,65.966037,-17.549623,yes,
May,31,Miklavatn,2,65.96707367,-17.52528567,unknown,
May,31,Mývatn,1,65.567918,-17.0059025,unknown,
May,31,Skjálftavatn,1,66.093505,-16.668005,unknown,
May,31,Skjálftavatn,2,66.070941,-16.658221,yes,
May,31,Víkingavatn,1,66.099223,-16.842089,no,
May,31,Víkingavatn,2,66.093311,-16.82526,no,
June,1,Isholsvatn,1,65.3342665,-17.3589245,unknown,
June,1,Isholsvatn,2,65.3338995,-17.363321,unknown,
June,1,Ljósavatn,1,65.697963,-17.634888,no,
June,1,Svartárvatn,1,65.343333,-17.247533,unknown,
June,1,Svartárvatn,2,65.336734,-17.2342245,no,
June,1,Svartárvatn,3,65.336823,-17.233753,unknown,
June,6,Botnsvatn,4,NA,NA,unknown,
June,6,Másvatn,4,NA,NA,unknown,
June,6,Miklavatn,3,NA,NA,unknown,
June,6,Vestmannsvatn,3,NA,NA,unknown,
June,6,Víkingavatn,3,NA,NA,no,
June,7,Isholsvatn,3,65.334201,-17.3595955,unknown,
June,7,Svartárvatn,G,65.342435,-17.24622167,unknown,
June,7,Svartárvatn,H,65.342435,-17.24622167,unknown,
June,7,Svartárvatn,L,65.342435,-17.24622167,yes,
June,8,Áshildarholtsvatn,1,65.72435367,-19.60394467,unknown,
June,8,Hrisatjorn,1,65.6849545,-19.586016,unknown,
June,8,Miklavatn-W,2,66.052545,-19.0422285,unknown,
June,8,Miklavatn-W,3,66.052545,-19.0422285,unknown,
June,8,Ólafsfjarðarvatn,1,66.045225,-18.686722,unknown,
June,8,Stifluvatn,1,65.9749915,-18.9767115,unknown,
June,8,Unknown Lake,1,66.050354,-19.331596,unknown,
June,9,Blonduos,1,65.66494,-20.230369,unknown,
June,9,Elliðavatn,1,64.085665,-21.765923,unknown,
June,9,Hnausavatn,1,65.505678,-20.3364185,unknown,
June,9,Hopið,1,65.488953,-20.3581125,unknown,
June,9,Hredhavatn,1,64.765962,-21.573053,unknown,
June,9,Stapavatn,1,65.45650367,-19.29533033,unknown,
June,9,Vatnshlidarvatn,1,65.5175875,-19.612971,unknown,
June,14,Tjörnin,1,64.1429825,-21.940998,unknown,
June,18,Miklavatn,NA,65.966505,-17.538554,unknown,
June,18,Vestmannsvatn,NA,65.7998125,-17.40738,unknown,
June,18,Víkingavatn,NA,NA,NA,no,"stored in proylene glycol; ""PG"" written on tube"
June,19,Isholsvatn,NA,NA,NA,unknown,"from netting, not infall traps; ""NET"" written on tube"
June,19,Isholsvatn,NA,NA,NA,unknown,from infall trap
June,21,Mývatn - KS,NA,65.5719545,-16.969334,unknown,site KS
June,21,Mývatn - SN,1,65.6148585,-16.966114,unknown,site SN
June,21,Mývatn - SN,2,65.614025,-16.964377,unknown,site SN
June,21,Mývatn - SN,3,65.616443,-16.97243,unknown,site SN
June,21,Mývatn - SN,4,65.6183805,-16.979879,unknown,site SN; closest to trap
June,22,Mývatn - KS,NA,65.572003,-16.970014,unknown,site KS
June,25,Laugabolsvatn,NA,65.983793,-22.659474,unknown,
June,29,Lýsuvatn,NA,64.8242,-23.207707,unknown,
June,29,N Protected Lake,NA,64.813907,-23.1292355,unknown,
June,29,Vatnsholtsvotn,NA,64.829486,-23.2463605,unknown,
July,5,Æðarvotn,NA,66.519464,-16.102427,unknown,
July,5,Blikalón,NA,66.4894365,-16.2499545,unknown,
July,5,Brunavatn,1,66.418224,-16.491497,unknown,"looked at hundreds, but there are thousands more"
July,5,Brunavatn,2,66.418224,-16.491497,unknown,
July,5,Deildarvatn,NA,66.3379465,-15.855835,unknown,
July,5,Eiðisvatn,NA,66.26533933,-15.02228733,unknown,
July,5,Havarðarvatn,NA,66.437175,-16.512814,unknown,
July,5,Holmavatn,NA,66.270004,-15.0896805,unknown,
July,5,Hraunhafnarvatn,NA,66.522381,-16.040289,unknown,
July,5,Hvilftarvatn,NA,66.3197155,-15.860846,unknown,
July,5,Leirhafnarvatn,NA,66.4042835,-16.5037925,unknown,
July,5,River Widening,NA,65.9808465,-17.4085235,unknown,
July,5,Sigurðarstaðavatn,NA,66.484927,-16.327134,unknown,
July,5,Þernuvatn,NA,66.3135715,-15.844681,unknown,
July,9,Botnsvatn,1,66.03427025,-17.29333425,unknown,
July,9,Ljósavatn,1,65.705407,-17.6662035,no,
July,9,Ljósavatn,2,65.698216,-17.635007,unknown,
July,9,Másvatn,1,65.626675,-17.2466785,no,
July,9,Másvatn,2,65.6248225,-17.2469445,unknown,
July,9,Másvatn,3,NA,NA,unknown,
July,9,Vestmannsvatn,1,65.799418,-17.406212,unknown,
July,9,Vestmannsvatn,2,65.799412,-17.40764,unknown,
July,9,Vestmannsvatn,3,65.79959867,-17.40558333,unknown,"appear to be mostly Micropsectra, but may be worth returning to"
July,9,Víkingavatn,1,66.098562,-16.843482,unknown,
July,9,Víkingavatn,2,66.103246,-16.845102,yes,
July,9,Víkingavatn,3,66.098562,-16.843482,unknown,"looked at hundreds, but there are thousands more"